CustomerID,SimilarCustomerID,SimilarityScore
C0001,C0069,0.9501351735586547
C0001,C0120,0.9068476337681673
C0001,C0026,0.8804282674729601
C0002,C0159,0.9705718494344692
C0002,C0178,0.8934974277107212
C0002,C0144,0.8478211641119889
C0003,C0166,0.8475199838500829
C0003,C0031,0.8191034728207771
C0003,C0195,0.7799014213818797
C0004,C0075,0.9323350425856792
C0004,C0065,0.9153222396430583
C0004,C0090,0.8382143807145055
C0005,C0007,0.9609234597616167
C0005,C0085,0.9606962542760248
C0005,C0197,0.9431368876027312
C0006,C0185,0.8690715877478479
C0006,C0024,0.8652559511379416
C0006,C0135,0.8636017386179151
C0007,C0005,0.9609234597616167
C0007,C0085,0.9572066970322836
C0007,C0127,0.9358707568745992
C0008,C0143,0.8911884705837944
C0008,C0173,0.8338634281809161
C0008,C0149,0.8313966608985753
C0009,C0150,0.9759140992020298
C0009,C0058,0.9731223243835494
C0009,C0033,0.9725011162544934
C0010,C0176,0.9517329033924063
C0010,C0056,0.9185813961457986
C0010,C0030,0.8871473781089981
C0011,C0117,0.9239302600638555
C0011,C0016,0.9072538982215291
C0011,C0074,0.8416108641885944
C0012,C0148,0.9666487855613753
C0012,C0113,0.8859781242563853
C0012,C0152,0.8481541208106568
C0013,C0099,0.9234030353712847
C0013,C0117,0.8531998945765671
C0013,C0141,0.8463953205389816
C0014,C0060,0.993714490024677
C0014,C0097,0.9892964280333231
C0014,C0151,0.9651379016018969
C0015,C0128,0.9732566002052284
C0015,C0080,0.9587958058504369
C0015,C0110,0.9548756744501267
C0016,C0117,0.9298924415291802
C0016,C0011,0.9072538982215291
C0016,C0074,0.9019762841584562
C0017,C0075,0.8556411097264754
C0017,C0018,0.8055740279555622
C0017,C0064,0.7956679748589455
C0018,C0068,0.9586486407312352
C0018,C0051,0.9276948664819217
C0018,C0122,0.9124992288695534
C0019,C0070,0.9342879776802667
C0019,C0191,0.9096993484434683
C0019,C0115,0.8486548663077463
C0020,C0130,0.9821618504633901
C0020,C0140,0.9165340574026573
C0020,C0009,0.8805982281775482
